gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group D,some high school,standard,none,73.0,84.0,85.0
male,group B,high school,standard,none,60.0,68.0,60.0
female,group C,associate's degree,standard,completed,83.0,85.0,90.0
male,group C,associate's degree,free/reduced,completed,65.0,73.0,68.0
female,group C,high school,free/reduced,none,62.0,67.0,64.0
female,group B,master's degree,free/reduced,completed,77.0,97.0,94.0
female,group C,bachelor's degree,free/reduced,completed,51.0,72.0,79.0
female,group E,associate's degree,standard,none,51.0,51.0,54.0
female,group C,high school,standard,none,61.0,72.0,70.0
female,group B,some college,free/reduced,none,45.0,53.0,55.0
male,group B,some high school,free/reduced,none,48.0,52.0,45.0
male,group B,some high school,standard,completed,85.0,84.0,78.0
female,group B,bachelor's degree,standard,none,75.0,84.0,80.0
female,group C,bachelor's degree,free/reduced,none,50.0,60.0,59.0
male,group D,some college,standard,none,76.0,64.0,66.0
male,group B,associate's degree,standard,completed,65.0,65.0,63.0
female,group B,associate's degree,standard,none,49.0,52.0,54.0
female,group B,high school,standard,none,74.0,72.0,72.0
male,group D,associate's degree,standard,none,75.0,68.0,64.0
male,group C,associate's degree,standard,none,92.0,79.0,84.0
male,group A,associate's degree,free/reduced,none,47.0,57.0,44.0
male,group C,master's degree,standard,none,67.0,57.0,59.0
female,group C,associate's degree,standard,none,46.0,58.0,57.0
male,group D,high school,standard,none,69.0,75.0,71.0
male,group C,some high school,standard,none,49.0,49.0,41.0
male,group D,associate's degree,standard,none,52.0,55.0,49.0
female,group D,some high school,standard,none,59.0,72.0,80.0
female,group C,bachelor's degree,standard,completed,96.0,100.0,100.0
female,group C,associate's degree,standard,completed,75.0,82.0,90.0
male,group D,some college,standard,none,88.0,77.0,77.0
female,group A,some high school,free/reduced,none,59.0,73.0,69.0
female,group D,some college,standard,completed,82.0,97.0,96.0
male,group C,some college,free/reduced,none,63.0,61.0,54.0
male,group C,high school,standard,none,68.0,60.0,53.0
male,group E,some college,standard,completed,84.0,83.0,78.0
